bulbasaur,"A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON."
ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
venusaur,"The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight."
charmander,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
charmeleon,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
charizard,"Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally."
squirtle,"Shoots water at prey while in the water. Withdraws into its shell when in danger."
wartortle,"When tapped, this POKéMON will pull in its head, but its tail will still stick out a little bit."
blastoise,"It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires."
caterpie,"It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly."
metapod,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
butterfree,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
weedle,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
kakuna,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
beedrill,"Flies at high speed and attacks using its large venomous stingers on its forelegs and tail."
pidgey,"A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand."
pidgeotto,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
pidgeot,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
rattata,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
raticate,"It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off."
spearow,"Il est incapable de voler à haute altitude. Il se déplace très vite pour protéger son territoire."
fearow,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
ekans,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
arbok,"It is rumored that the ferocious warning markings on its belly differ from area to area."
pikachu,"最近發表了聚集大量皮卡丘 來建造發電廠的計畫。"
raichu,"Its tail discharges electricity into the ground, protecting it from getting shocked."
sandshrew,"Burrows deep underground in arid locations far from water. It only emerges to hunt for food."
sandslash,"Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape."
nidoran-f,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns."
nidorina,"The female's horn develops slowly. Prefers physical attacks such as clawing and biting."
nidoqueen,"Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves."
nidoran-m,"Saca las orejas por encima de la hierba para explorar el territorio. Le protege su cuerno venenoso."
nidorino,"An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom."
nidoking,"One swing of its mighty tail can snap a telephone pole as if it were a matchstick."
clefairy,"Its magical and cute appeal has many admirers. It is rare and found only in certain areas."
clefable,"A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people."
vulpix,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
ninetales,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse."
jigglypuff,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
wigglytuff,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
zubat,"Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets."
golbat,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
oddish,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
gloom,"It secretes a sticky, drool-like honey. Although sweet, it smells too repulsive to get very close."
vileplume,"It has the world's largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
